Entry	Signal peptide
P13500	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:2648385"
P13501	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:1380064, ECO:0000269|PubMed:7524281"
P13504	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:2969618"
P13595	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:3512556"
P13598	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:19892738"
P13599	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:2911353"
P13611	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:1429726"
P13612	SIGNAL 1..33; /evidence="ECO:0000269|PubMed:3033641"
P13671	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:2808363"
P13686	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:1477968, ECO:0000269|PubMed:2334436, ECO:0000269|PubMed:2610679, ECO:0000269|PubMed:2775236"
P13689	SIGNAL 1..38; /evidence="ECO:0000269|PubMed:2542939, ECO:0000269|PubMed:2555179"
P13725	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:1542792, ECO:0000269|PubMed:3540948"
P13727	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:7539791, ECO:0000269|PubMed:7685339, ECO:0000269|PubMed:8507662"
P13806	SIGNAL 1..26; /evidence="ECO:0000269|PubMed:2558713"
P13987	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:9054419, ECO:0007744|PubMed:25944712"
P14091	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:8346912"
P14095	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:2684956, ECO:0000269|PubMed:8607872"
P14209	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:2479542"
P14210	SIGNAL 1..31; /evidence="ECO:0000269|PubMed:1826837"
P14211	SIGNAL 1..17; /evidence="ECO:0000269|PubMed:2583110, ECO:0000269|PubMed:7523108"
P14314	SIGNAL 1..14; /evidence="ECO:0000269|PubMed:12665801"
P14384	SIGNAL 1..17; /evidence="ECO:0000269|PubMed:12457462, ECO:0000269|PubMed:2753907"
P14423	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:2722857, ECO:0000269|PubMed:3235451, ECO:0000269|PubMed:3356705, ECO:0000269|PubMed:3654593"
P14424	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:3790259"
P14448	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:656462"
P14555	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:2775276, ECO:0000269|PubMed:2925633, ECO:0000269|PubMed:3202859, ECO:0000269|PubMed:3240982, ECO:0000269|PubMed:8399335"
P14562	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:2920835"
P14625	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:12665801, ECO:0007744|PubMed:25944712"
P14630	SIGNAL 1..17; /evidence="ECO:0000269|PubMed:2297521"
P14632	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:2605266"
P14770	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:12665801, ECO:0000269|PubMed:2253772, ECO:0000269|PubMed:2771955, ECO:0000269|PubMed:3056407"
P14780	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:1371271, ECO:0000269|PubMed:1400481, ECO:0000269|PubMed:1464361, ECO:0000269|PubMed:1653055, ECO:0000269|PubMed:2551898, ECO:0000269|PubMed:7669817"
P14925	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:2211657"
P15018	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:2730639"
P15085	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:2307232, ECO:0000269|PubMed:2920728"
P15086	SIGNAL 1..15; /evidence="ECO:0000269|PubMed:1370825, ECO:0000269|PubMed:2920728"
P15169	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:3408501"
P15226	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:1926167, ECO:0000269|PubMed:1993690, ECO:0000269|PubMed:25199494, ECO:0000269|PubMed:6477555, ECO:0000269|Ref.7"
P15247	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:2528451"
P15253	SIGNAL 1..17; /evidence="ECO:0000269|PubMed:2016321, ECO:0000269|PubMed:2241926"
P15261	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:2137461"
P15289	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:1352993"
P15309	SIGNAL 1..32; /evidence="ECO:0000269|PubMed:10639192"
P15358	SIGNAL 1..17; /evidence="ECO:0000269|PubMed:3164720, ECO:0000269|PubMed:8271959"
P15473	SIGNAL 1..27; /evidence="ECO:0000269|PubMed:2443135, ECO:0000269|PubMed:2480123, ECO:0000269|PubMed:3190697"
P15497	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:1739745"
P15515	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:2372245, ECO:0000269|PubMed:3286634, ECO:0000269|PubMed:3944083"
P15516	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:15272024, ECO:0000269|PubMed:2372245, ECO:0000269|PubMed:3286634"
P15529	SIGNAL 1..34; /evidence="ECO:0000269|PubMed:1479546, ECO:0000269|PubMed:2298462, ECO:0000269|PubMed:3260937, ECO:0000269|PubMed:8371352"
P15589	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:2765556"
P15691	SIGNAL 1..26; /evidence="ECO:0000269|PubMed:2479986, ECO:0000269|PubMed:2735925"
P15693	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:2155025"
P15703	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:8935650, ECO:0000269|PubMed:9748433"
P15941	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:10373415, ECO:0000269|PubMed:11341784"
P16035	SIGNAL 1..26; /evidence="ECO:0000269|PubMed:1480041, ECO:0000269|PubMed:1730286, ECO:0000269|PubMed:2793861"
P16112	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:7574678"
P16144	SIGNAL 1..27; /evidence="ECO:0000269|PubMed:2542022"
P16150	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:1731338"
P16225	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:7673229"
P16235	SIGNAL 1..26; /evidence="ECO:0000269|PubMed:2601325, ECO:0000269|PubMed:2925659"
P16303	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:1429692, ECO:0000269|PubMed:8597091"
P16368	SIGNAL 1..26; /evidence="ECO:0000269|PubMed:2551903, ECO:0000269|PubMed:3005321"
P16382	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:2805066"
P16444	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:15340161, ECO:0000269|PubMed:2137335, ECO:0000269|PubMed:2768222"
P16612	SIGNAL 1..26; /evidence="ECO:0000269|PubMed:2320579, ECO:0000269|PubMed:7706320"
P16619	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:15340161"
P16636	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:26479776"
P16860	SIGNAL 1..26; /evidence="ECO:0000269|PubMed:2138890"
P16882	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:3398846"
P16975	SIGNAL 1..17; /evidence="ECO:0000269|PubMed:2322281"
P17046	SIGNAL 1..26; /evidence="ECO:0000269|PubMed:1794981, ECO:0000269|PubMed:2590192, ECO:0000269|PubMed:8662539"
P17050	SIGNAL 1..17; /evidence="ECO:0000269|PubMed:2256909"
P17164	SIGNAL 1..28; /evidence="ECO:0000269|PubMed:2482732"
P17213	SIGNAL 1..31; /evidence="ECO:0000269|PubMed:1937776, ECO:0000269|PubMed:2501794, ECO:0000269|PubMed:2722846, ECO:0000269|PubMed:3667613"
P17301	SIGNAL 1..29; /evidence="ECO:0000269|PubMed:2545729"
P17454	SIGNAL 1..26; /evidence="ECO:0000269|PubMed:2427635"
P17475	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:2302382"
P17697	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:1691174"
P17715	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:2192710"
P17728	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:2383565"
P17813	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:1692830"
P17935	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:1765075"
P17936	SIGNAL 1..27; /evidence="ECO:0000269|PubMed:15340161, ECO:0000269|PubMed:1697583, ECO:0000269|PubMed:1726837"
P17948	SIGNAL 1..26; /evidence="ECO:0000269|PubMed:8248162"
P18181	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:1383383"
P18418	SIGNAL 1..17; /evidence="ECO:0000269|PubMed:1497655, ECO:0000269|PubMed:2241926, ECO:0000269|PubMed:8251535"
P18428	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:2402637"
P18510	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:2137200, ECO:0000269|PubMed:2143761"
P18632	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:3181436"
P18649	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:7417263"
P18650	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:7417263"
P18658	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:3105581"
P18761	SIGNAL 1..17; /evidence="ECO:0000269|PubMed:2497732"
P18915	SIGNAL 1..14; /evidence="ECO:0000269|PubMed:2497732"
P19034	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:2209608"
P19035	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:2209608"
P19121	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:911327"
P19134	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:3365331"
P19136	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:1592808, ECO:0000269|PubMed:2760033"
P19137	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:11829758"
P19313	SIGNAL 1..27; /evidence="ECO:0000269|PubMed:2757396"
P19320	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:15340161"
P19324	SIGNAL 1..17; /evidence="ECO:0000269|PubMed:1317794"
P19425	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:2394318, ECO:0000269|PubMed:8353526"
P19427	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:2925615"
P19438	SIGNAL 1..29; /evidence="ECO:0000269|PubMed:2158862"
P19633	SIGNAL 1..34; /evidence="ECO:0000255, ECO:0000269|PubMed:3417768, ECO:0000269|PubMed:8042990"
P19801	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:8144586"
P19835	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:1988041"
P19874	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:2244880"
P19876	SIGNAL 1..34; /evidence="ECO:0000269|PubMed:15340161"
P19883	SIGNAL 1..29; /evidence="ECO:0000269|PubMed:15340161"
P19957	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:7685029"
P19999	SIGNAL 1..17; /evidence="ECO:0000269|PubMed:3584121"
P20029	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:2559088, ECO:0000269|PubMed:7523108"
P20058	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:3421961"
P20059	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:3421961"
P20062	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:3782074"
P20068	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:8471039"
P20142	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:2515193, ECO:0000269|PubMed:6816595"
P20155	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:2226783"
P20160	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:10534120"
P20239	SIGNAL 1..34; /evidence="ECO:0000269|PubMed:12799386, ECO:0000269|PubMed:1690843"
P20241	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:2805067"
P20333	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:2173696"
P20334	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:7678621"
P20474	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:2327788"
P20507	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:2120056"
P20702	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:3549901"
P20774	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:15340161"
P20826	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:1698553, ECO:0000269|PubMed:1698554, ECO:0000269|PubMed:1698557"
P20827	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:15340161"
P20933	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:2011603, ECO:0007744|PubMed:25944712"
P20959	SIGNAL 1..27; /evidence="ECO:0000269|PubMed:1701128"
P21128	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:2350438"
P21246	SIGNAL 1..32; /evidence="ECO:0000269|PubMed:1733956, ECO:0000269|PubMed:2388713, ECO:0000269|PubMed:8241100"
P21570	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:8448182"
P21581	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:1708771, ECO:0000269|PubMed:2208278"
P21588	SIGNAL 1..28; /evidence="ECO:0000269|PubMed:2298743"
P21589	SIGNAL 1..26; /evidence="ECO:0000269|PubMed:2173922"
P21611	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:2011126"
P21614	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:10052453, ECO:0000269|PubMed:3243374"
P21741	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:15340161, ECO:0000269|PubMed:1883381, ECO:0000269|PubMed:8241100"
P21743	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:2164920"
P21744	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:2480123"
P21754	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:15379548"
P21760	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:2346493"
P21781	SIGNAL 1..31; /evidence="ECO:0000269|PubMed:2475908, ECO:0000269|PubMed:2915979"
P21782	SIGNAL 1..32; /evidence="ECO:0000269|PubMed:1550956, ECO:0000269|PubMed:2229039, ECO:0000269|PubMed:2610682"
P21956	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:2122462"
P22057	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:7836410"
P22063	SIGNAL 1..30; /evidence="ECO:0000269|PubMed:2317872"
P22146	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:1824714"
P22301	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:15340161"
P22362	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:15340161, ECO:0000269|PubMed:1557400"
P22388	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:26479776"
P22394	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:2341377"
P22412	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:2137335"
P22455	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:15340161"
P22458	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:1372829"
P22692	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:1709161, ECO:0000269|PubMed:1709585, ECO:0000269|PubMed:1726835"
P22748	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:2111324"
P22770	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:3860855"
P22894	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:1662606, ECO:0000269|PubMed:2159879"
P23083	SIGNAL 1..19; /evidence="ECO:0000269|Ref.4"
P23141	SIGNAL 1..17; /evidence="ECO:0000269|PubMed:7980644, ECO:0000269|PubMed:9490062"
P23142	SIGNAL 1..29; /evidence="ECO:0000269|PubMed:2527614"
P23229	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:1953640, ECO:0000269|PubMed:2542022, ECO:0000269|PubMed:2649503"
P23284	SIGNAL 1..33; /evidence="ECO:0000269|PubMed:2000394"
P23389	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:15174145, ECO:0000269|PubMed:7744058"
P23472	SIGNAL 1..26; /evidence="ECO:0000269|PubMed:1879417"
P23515	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:3283151"
P23631	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:9792186"
P23805	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:1993651, ECO:0000269|PubMed:8328957"
P23807	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:1831197"
P24021	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:1939022"
P24027	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:15032748, ECO:0000269|PubMed:8033889"
P24063	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:3887182"
P24090	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:1860865"
P24091	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:16593796"
P24258	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:1368343, ECO:0000269|PubMed:1903396"
P24259	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:6549270, ECO:0000269|PubMed:6689515"
P24605	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:1899180"
P24627	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:2805645"
P24802	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:1704364"
P24807	SIGNAL 1..26; /evidence="ECO:0000269|PubMed:1530634"
P24821	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:1707164"
P24855	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:2277032, ECO:0000269|PubMed:3263467"
P25031	SIGNAL 1..26; /evidence="ECO:0000269|PubMed:1722211"
P25116	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:22659187"
P25236	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:2037562"
P25291	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:2011597, ECO:0000269|PubMed:7765250"
P25311	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:15340161, ECO:0000269|PubMed:3422450"
P25942	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:11676606, ECO:0000269|PubMed:15340161, ECO:0000269|PubMed:2463309"
P26006	SIGNAL 1..32; /evidence="ECO:0000269|PubMed:10455171, ECO:0000269|PubMed:3033641, ECO:0000269|PubMed:8187758"
P26010	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:1542691, ECO:0000269|PubMed:1750505"
P26011	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:1710115"
P26216	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:1932692"
P26652	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:1845973"
P26842	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:15340161"
P26894	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:1420165, ECO:0000269|PubMed:1850745"
P27177	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:1715573"
P27274	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:1376109, ECO:0000269|PubMed:7528012"
P27654	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:10216230, ECO:0000269|PubMed:7746155, ECO:0000269|PubMed:7768807, ECO:0000269|PubMed:9818717"
P27657	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:8486693"
P27731	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:1833190"
P27773	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:7523108, ECO:0000269|Ref.7"
P27797	SIGNAL 1..17; /evidence="ECO:0000269|PubMed:1286669, ECO:0000269|PubMed:1911778, ECO:0000269|PubMed:2400400, ECO:0000269|PubMed:3260607, ECO:0000269|PubMed:7841019, ECO:0000269|PubMed:8418194, ECO:0000269|PubMed:9150948, ECO:0007744|PubMed:25944712"
P28039	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:8089145"
P28053	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:1311165"
P28088	SIGNAL 1..26; /evidence="ECO:0000269|PubMed:1660473, ECO:0000269|PubMed:9422751"
P28319	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:7768807"
P28325	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:8083219"
P28335	SIGNAL 1..32; /evidence="ECO:0000269|PubMed:22497996"
P28491	SIGNAL 1..17; /evidence="ECO:0000269|PubMed:2016321"
P28665	SIGNAL 1..27; /evidence="ECO:0000269|PubMed:1840592"
P28797	SIGNAL 1..17; /evidence="ECO:0000269|PubMed:8471244"
P28798	SIGNAL 1..17; /evidence="ECO:0000269|PubMed:8496151"
P28800	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:1385210"
P28825	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:8615815"
P28906	SIGNAL 1..31; /evidence="ECO:0000269|PubMed:1370171, ECO:0000269|PubMed:2462139"
P29022	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:21453431"
P29029	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:1918080, ECO:0000269|PubMed:9748433"
P29241	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:10861229, ECO:0000269|PubMed:1650255"
P29288	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:1830446"
P29320	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:1737782"
P29457	SIGNAL 1..17; /evidence="ECO:0000269|PubMed:1654327, ECO:0000269|PubMed:2158279"
P29459	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:2204066"
P29460	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:2204066"
P29695	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:1478916, ECO:0000269|PubMed:16289179, ECO:0000269|PubMed:17222882"
P29788	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:1372829"
P29794	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:3238052"
P30040	SIGNAL 1..32; /evidence="ECO:0000269|PubMed:8313870, ECO:0007744|PubMed:25944712"
P30101	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:12665801, ECO:0000269|PubMed:1286669, ECO:0000269|PubMed:7487104, ECO:0000269|PubMed:9150948, ECO:0000269|PubMed:9399589, ECO:0007744|PubMed:25944712"
P30120	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:1309971, ECO:0000269|PubMed:7777858"
P30121	SIGNAL 1..26; /evidence="ECO:0000269|PubMed:1309971"
P30122	SIGNAL <1..18; /evidence="ECO:0000269|PubMed:10220579"
P30230	SIGNAL 1..29; /evidence="ECO:0000269|PubMed:1639777"
P30348	SIGNAL 1..31; /evidence="ECO:0000269|PubMed:8043001, ECO:0000269|PubMed:8471066, ECO:0000269|PubMed:8607872"
P30440	SIGNAL 1..17; /evidence="ECO:0000269|PubMed:1712068, ECO:0000269|PubMed:1946388"
P30919	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:2775174"
P30922	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:3122754"
P30986	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:1946465"
P30988	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:15340161"
P31025	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:25946035, ECO:0000269|Ref.8"
P31096	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:8320368, ECO:0000269|PubMed:8663267"
P31100	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:1425670, ECO:0000269|PubMed:8835338"
P31211	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:3347061"
P31358	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:1711975"
P31429	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:1741759"
P31720	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:8464426"
P31723	SIGNAL 1..35; /evidence="ECO:0000269|PubMed:8452520"
P31809	SIGNAL 1..34; /evidence="ECO:0000269|PubMed:1648219"
P31836	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:3512556"
P32004	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:3136168"
P32472	SIGNAL 1..17; /evidence="ECO:0000269|PubMed:1380159"
P32478	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:1570286, ECO:0000269|PubMed:9301021"
P32760	SIGNAL 1..30; /evidence="ECO:0000269|PubMed:1550956, ECO:0000269|PubMed:2388713"
P32802	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:8314797"
P32803	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:10713261, ECO:0000269|PubMed:8314797"
P32881	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:9425112"
P33183	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:8400135"
P33436	SIGNAL 1..29; /evidence="ECO:0000269|PubMed:26479776"
P33487	SIGNAL 1..33; /evidence="ECO:0000269|PubMed:1321684"
P33681	SIGNAL 1..34; /evidence="ECO:0000269|PubMed:1714935"
P33767	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:1724755, ECO:0000269|PubMed:7703229"
P34095	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:1396552, ECO:0000269|PubMed:1881907"
P34096	SIGNAL 1..28; /evidence="ECO:0000269|PubMed:8223579"
P34115	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:7680629"
P34116	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:7680629"
P34998	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:11425856"
P35052	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:2148568"
P35053	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:1417860"
P35248	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:1370483"
P35331	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:2045418"
P35355	SIGNAL 1..17; /evidence="ECO:0000269|PubMed:1556140"
P35441	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:8654563"
P35495	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:1586165, ECO:0000269|PubMed:8269963"
P35555	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:10636927"
P35590	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:15340161"
P35625	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:7795886"
P35858	SIGNAL 1..27; /evidence="ECO:0000269|PubMed:2473065"
P35859	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:7507839"
P35916	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:15340161"
P36222	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:2375755, ECO:0000269|PubMed:9492324"
P36368	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:3036794"
P36511	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:1906977"
P36897	SIGNAL 1..33; /evidence="ECO:0000269|PubMed:9661882"
P36980	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:1533657"
P37042	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:7050119, ECO:0000269|Ref.3"
P37173	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:15340161"
P37889	SIGNAL 1..26; /evidence="ECO:0000269|PubMed:8245130"
P38570	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:8119947"
P38571	SIGNAL 1..27; /evidence="ECO:0000269|PubMed:8112342"
P38574	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:8270634"
P39039	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:1637828"
P40199	SIGNAL 1..34; /evidence="ECO:0000269|PubMed:15340161"
P40259	SIGNAL 1..28; /evidence="ECO:0000269|PubMed:7514267"
P40967	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:8179825"
P41222	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:1726844, ECO:0000269|PubMed:7689714, ECO:0000269|PubMed:7692978, ECO:0000269|PubMed:8336134, ECO:0000269|PubMed:8336140, ECO:0000269|PubMed:9475419, ECO:0000269|PubMed:9844724"
